"DisplayName","DisplayVersion","Publisher","InstallDate"
"WinAppDeploy","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Desktop Tools x86","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Apps Libs","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows Team Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"vs_communitymsires","17.11.35103","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","Microsoft Corporation","20240921"
"Update for  (KB2504637)","1","Microsoft Corporation",
"Windows IoT Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"Acronis True Image for Crucial","27.0.39939","Acronis","20240620"
"Acronis True Image for Crucial","27.0.39939","Acronis","20240620"
"Project Viewer 365","24.23.1259","Housatonic Software Inc.","20241013"
"Universal General MIDI DLS Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows Desktop Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"Universal CRT Headers Libraries and Sources","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20240921"
"SGT Online Exam Browser","5.0.17","Serco Canada Inc","20240715"
"Windows Desktop Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"WPTx64 (DesktopEditions)","10.1.22621.3233","Microsoft","20240521"
"Windows SDK EULA","10.1.22621.3233","Microsoft Corporations","20240521"
"Kits Configuration Installer","10.1.19041.685","Microsoft","20240921"
"Universal CRT Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"UE Prerequisites (x64)","1.0.21.0","Epic Games, Inc.",
"Microsoft Visual Studio Setup Configuration","3.11.2133.16870","Microsoft Corporation","20240921"
"Microsoft .NET Targeting Pack - 8.0.8 (x86)","64.32.18380","Microsoft Corporation","20240921"
"Entity Framework 6.2.0 Tools  for Visual Studio 2022","6.2.0.0","Microsoft Corporation","20240521"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20241013"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","20240521"
"Windows SDK Desktop Headers x86","10.1.22621.3233","Microsoft Corporation","20240521"
"Redragon M916-PRO-4K version 1.0.0.4","1.0.0.4","Redragon, Inc.","20240729"
"vs_FileTracker_Singleton","17.11.35102","Microsoft Corporation","20240921"
"vs_BlendMsi","17.11.35102","Microsoft Corporation","20240921"
"vs_devenvsharedmsi","17.11.35102","Microsoft Corporation","20240921"
"Windows SDK Desktop Tools x64","10.1.19041.685","Microsoft Corporation","20240921"
"Windows Team Extension SDK Contracts","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Modern Versioned Developer Tools","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft Windows Desktop Runtime - 8.0.8 (x86)","64.32.18376","Microsoft Corporation","20240921"
"Python Launcher","3.12.6150.0","Python Software Foundation","20240921"
"WinRT Intellisense PPI - Other Languages","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Managed Apps Libs","10.1.19041.685","Microsoft Corporation","20240921"
